	GSM542652_AA049_268N2L4_Celegans_.CEL.gz	GSM542653_AA052_272N2L4_Celegans_.CEL.gz	GSM542654_AA055_291N2L4_Celegans_.CEL.gz	GSM542655_AA050_268N2d6_Celegans_.CEL.gz	GSM542656_AA053_272N2d6_Celegans_.CEL.gz	GSM542657_AA056_291N2d6_Celegans_.CEL.gz	GSM542658_AA051_268N2d15_Celegans_.CEL.gz	GSM542659_AA054_272N2d15_Celegans_.CEL.gz	GSM542660_AA057_291N2d15_Celegans_.CEL.gz
171720_x_at	9.63113821880164	9.60691200935434	9.71404729601509	9.67374247688839	9.73951445442767	9.8793470759892	9.55436894149911	9.64792391061416	9.51215766201462
171721_x_at	10.6473269877006	10.6781633225876	10.6504923482488	11.2895254914943	11.073884326745	11.1804830094008	11.0224300770617	10.9937960460719	10.9497301014001
171722_x_at	11.8809494243885	11.93397257465	11.822680994524	11.1136802254931	11.2710283843868	11.3511585746796	11.7457633771349	12.0588039178217	11.8754681074158
171723_x_at	13.2814561901071	13.3236605700757	13.169522468587	13.6055389706221	13.610632804054	13.6243756053525	12.5476846944938	12.058587741335	12.1228336704531
171724_x_at	8.8019018541536	10.492226653223	9.85268956294441	10.7695260396398	10.9763419814072	10.9898179367203	10.2566463755311	10.2376956675719	10.6875090010839
171725_x_at	13.1629836925523	13.5172969308101	13.3725644400138	10.3867454585577	10.3696588826247	10.81656948497	7.38173464696386	7.49043272841726	7.08355383268888
171726_x_at	7.6329305192618	7.55217989818351	7.76999661904059	8.09871805357608	8.0980254623099	8.32317204724192	7.93172759776545	7.93172759776545	8.1478876996478
171727_x_at	7.76809350640808	5.89792206716743	7.34026958231658	5.35126756153892	5.45530044400204	5.55599116079793	5.0776675192097	5.40680194325285	5.03360256945746
171728_x_at	8.09564727928761	7.48338574195202	7.78609376167	6.14006412380984	6.64531263345618	7.47343006820569	6.77694436952794	6.64449714584122	6.43472946253728
171729_x_at	11.7741648830965	11.2682788106543	11.2106110012494	11.5384270262735	11.4943694782354	11.3513368482724	11.9333038571698	11.8961679912774	11.9031845197474
171730_x_at	10.3867975608517	10.69009324954	11.1714586316066	6.2659699283015	6.40999009762843	6.8271291669517	5.72679561114452	5.98664490953301	5.66143860108237
171731_x_at	8.10643283689279	7.87419131237358	7.60127275262969	9.58681288813298	9.38894849270532	9.55135676708029	9.72274625980445	9.54761905747861	9.80208695396549
171732_x_at	8.71428784157537	9.42385430892487	8.88163290132093	9.96646324490082	10.2364702019964	10.1163929700034	10.1585937430333	9.86804242126104	10.0513309924907
171733_x_at	5.16130263016449	4.83030457304628	5.3093135597067	9.1490067892536	9.03282880679913	8.67971771547168	10.2704990875236	9.63616085741541	9.33818657477002
171734_x_at	12.9761176714772	13.001962673476	13.1235255966595	12.62548305387	12.7303845670385	12.6694677636947	12.6630764248959	12.7880037877352	12.7630250449021
171735_x_at	12.6894037039095	13.2454452422765	12.6206770182822	10.4917983139514	10.1144500249719	10.0996597429508	9.31493887724675	9.35221113677833	9.02201147579229
171736_x_at	8.49470890679661	7.48047771656806	8.52475185882357	9.0061882364609	9.16386853825273	8.70558428545054	8.4877393013153	8.25575402674161	8.22746376685252
171737_x_at	9.95883201800179	10.8512218712867	9.4649606352999	11.5003933995783	11.2321247728755	11.4787919588856	12.0089462952975	11.6982452190686	11.9447913574578
171738_x_at	11.6788177808082	11.4172566704492	11.6777538659259	11.2395628826705	11.2615763856934	11.47156025531	11.2615763856934	11.0158466965987	10.7589641677178
171739_x_at	7.60693878033722	7.63138551315705	7.30487639655601	7.11525506949316	6.89085647449379	7.11914481018445	6.83205713395286	6.40037806980881	6.39949684491463
171740_x_at	10.5251964516835	10.9132308354482	10.7874368608118	11.2520088725343	10.975555351067	11.2855064057968	11.3862775568043	11.3069127718658	11.0139673445247
171741_x_at	11.3584585809746	12.0936398124149	11.5404389607604	13.9393639131582	13.9350375846398	14.0870421839138	13.8888490084679	13.8069216682728	13.8448060879833
171742_x_at	4.21023342073721	4.64555809916908	4.63811415801142	8.83293050739625	9.01052821032118	8.83672108328108	7.37838020511872	8.75067320125054	8.18087699759611
